date,amount,category,note
07/01/2013,£789.20,"Initial balance","Transfer everything from Barclays and some leftover cash"
07/01/2013,-£59.96,"Transfer to joint account","Conceptual transfer for Brita, hob cleaner and groceries"
07/01/2013,-£23.51,"Other expense","Manchester council tax adjustment"
07/01/2013,-£50.00,"Save some","Save something"
07/02/2013,-£68.85,"Transfer to joint account","Suur pott, aknapuhastaja, hapukoor, vannitoa vaip"
07/02/2013,-£3.45,"Restaurants & coffee shops","Google campus coffee + OJ"
07/02/2013,-£4.24,"Transfer to joint account","Balance out wc ja majap paber"
07/03/2013,-£4.50,"Restaurants & coffee shops","Tea and cookie at Timber Yard"
07/03/2013,-£23.41,"Transfer to joint account","Balance groceries"
07/04/2013,-£20.00,"Transport & travel","Oyster top up (2nd of July)"
07/04/2013,-£7.30,"Restaurants & coffee shops","Coffee and cake at Timber Yard,  later tea. "
07/05/2013,-£5.99,"Restaurants & coffee shops","Attempted lunch at Itsu---never again!"
07/05/2013,-£5.30,"Restaurants & coffee shops","Actual lunch at Google Campus (salad + tea)"
07/05/2013,-£3.00,"Restaurants & coffee shops","Pay for work spot at TY with a smoothie"
07/05/2013,-£2.75,"Entertainment","Somersby 4pack"
06/05/2012,-£21.80,"Transfer to joint account",""Now you see me" ja popcorn "
06/06/2012,-£26.16,"Transfer to joint account","Balance weekend shopping"
06/07/2012,-£12.00,"Bills & subscriptions","Recurring giffgaff goodybag"
06/07/2012,-£132.00,"Transfer to joint account","Balance tickets to PARIS!"
06/09/2012,-£3.85,"Restaurants & coffee shops","Starbucks coffee & water"
06/09/2012,-£4.50,"Restaurants & coffee shops","Whitecross market lunch"
06/10/2012,-£1.35,"Spontaneous food & drinks","Water from Nero -- instead should buy reusable bottle and bring water from home"
06/10/2012,-£4.50,"Restaurants & coffee shops","Whitecross market lunch"
06/10/2012,-£4.50,"Restaurants & coffee shops","TY tea and cookie"
06/10/2012,-£23.02,"Transfer to joint account","Groceries"
06/11/2012,£789.62,"Misc income","Julie Twist deposit returned & transfered from Barclays account, then closed"
06/11/2012,-£6.85,"Restaurants & coffee shops","Starbucks coffee, biscuit & panini"
06/11/2012,-£500.00,"Save some","Save a sum from the deposit, but leave enough to manage until the end of the month"
06/12/2012,-£20.00,"Transport & travel","Oyster top up (10th of July)"
06/12/2012,-£12.00,"Clothing","Sukad graduationiks"
06/12/2012,-£30.96,"Hygene, health & beauty","Juuksevaht, juukselakk, küünelakk, huulepalsam John Lewisest"
06/12/2012,-£2.25,"Spontaneous food & drinks","Maasikajäätis John Lewise kõrvalt"
07/13/2013,-£1.00,"Spontaneous food & drinks","Jäätis Purfleetis"
07/15/2013,-£1.80,"Fix error","NatWest consistently insists that I have 1.80 less than what I think I have. O wello."
07/16/2013,-£14.50,"Restaurants & coffee shops","Cafe Royal hotell võileib ja Coca "
07/16/2013,-£0.50,"Other expense","Tip hotellis kohvrite eest"
07/17/2013,-£1.65,"Hygene, health & beauty","Tampoonid"
07/17/2013,-£3.80,"Spontaneous food & drinks","Tee, jaffa cakes on the train to Graduation"
07/18/2013,-£0.10,"Other expense","Katsil jäi borough marketil sentidest puudu"
07/19/2013,-£14.68,"For the flat","Larger towel stand so that towels don't stink"
07/19/2013,-£30.00,"Save some","Save a little, easier now than with own salary"
07/19/2013,£70.00,"Misc income","Emalt allesjäänud naelad"
07/19/2013,-£3.00,"Other expense","Gave to girl on the street "
07/19/2013,-£7.65,"Restaurants & coffee shops","Vibe cafe on brick lane -- gazpacho and lemonade "
07/19/2013,-£1.70,"Spontaneous food & drinks","Cherries at Hampstead ponds"
07/19/2013,£18.40,"Misc income","Isa, ema ja Katsi oyster cardide balance ja deposiidid"
07/19/2013,-£10.00,"Bills & subscriptions","Giffgaff auto topup for 18th of July"
07/20/2013,-£20.00,"Transport & travel","Oyster auto topup"
07/20/2013,-£85.19,"Self-indulgence","HEKK pipe!"
07/20/2013,-£13.13,"Self-indulgence","Staedler fineliners, one pack of assorted widths, two packs of assorted colors"
07/20/2013,-£2.00,"Transport & travel","Barclays bike hire"
07/22/2013,-£12.94,"Restaurants & coffee shops","Fornata spaghetti al pomodoro & coke "
07/22/2013,-£2.75,"Restaurants & coffee shops","Starbucks frapuccino after dying on the bus. Also pay for free wifi. Contactless payments take longer to register on NatWest."
07/23/2013,£9.30,"Misc income","Virgin Media remittance"
07/23/2013,-£3.15,"Restaurants & coffee shops","Starbucks iced latte & shortbread"
07/24/2013,-£2.15,"Restaurants & coffee shops","Starbucks iced latte"
07/24/2013,-£1.55,"Hygene, health & beauty","Daily liners"
07/25/2013,-£20.00,"Transport & travel","Oyster top up (23/07)"
07/26/2013,-£8.00,"Restaurants & coffee shops","Campus BBQ Fridays -- hot dog and san pellegrino. Later coffee"
06/11/2013,£789.62,"Misc income","Julie Twist deposit returned & transfered from Barclays account, then closed"
06/11/2013,-£6.85,"Restaurants & coffee shops","Starbucks coffee, biscuit & panini"
06/11/2013,-£500.00,"Save some","Save a sum from the deposit, but leave enough to manage until the end of the month"
06/12/2013,-£20.00,"Transport & travel","Oyster top up (10th of July)"
06/12/2013,-£12.00,"Clothing","Sukad graduationiks"
06/12/2013,-£30.96,"Hygene, health & beauty","Juuksevaht, juukselakk, küünelakk, huulepalsam John Lewisest"
04/12/2013,-£2.25,"Spontaneous food & drinks","Maasikajäätis John Lewise kõrvalt"
04/13/2013,-£1.00,"Spontaneous food & drinks","Jäätis Purfleetis"
04/15/2013,-£1.80,"Fix error","NatWest consistently insists that I have 1.80 less than what I think I have. O wello."
04/16/2013,-£14.50,"Restaurants & coffee shops","Cafe Royal hotell võileib ja Coca "
04/16/2013,-£0.50,"Other expense","Tip hotellis kohvrite eest"
04/17/2013,-£1.65,"Hygene, health & beauty","Tampoonid"
07/17/2012,-£3.80,"Spontaneous food & drinks","Tee, jaffa cakes on the train to Graduation"
07/18/2012,-£0.10,"Other expense","Katsil jäi borough marketil sentidest puudu"
07/19/2012,-£14.68,"For the flat","Larger towel stand so that towels don't stink"
01/01/1990,-£100,"Spend","Test this shit out"
02/01/1990,-£100,"Spend","Test this shit out"
08/08/2013,-£25,"Transport","Oyster topup"